document: titleLevel2,hit text: lemma,hit text: word,hit text: pos_full,count,numberOfDocs,subcorpusSize.documents,subcorpusSize.numberOfTokens
Algemeen Dagblad,de,de,"pd(type=d-p,subtype=art-def)",5537,256,260,101023
Algemeen Dagblad,een,een,"pd(type=indef,subtype=art-indef)",2768,248,260,101023
Algemeen Dagblad,in,in,adp(type=pre),2267,247,260,101023
Algemeen Dagblad,van,van,adp(type=pre),2246,246,260,101023
De Volkskrant,de,de,"pd(type=d-p,subtype=art-def)",2149,61,63,38193
Algemeen Dagblad,en,en,conj(type=coor),2119,231,260,101023
NRC,de,de,"pd(type=d-p,subtype=art-def)",2054,70,76,38378
Algemeen Dagblad,het,het,"pd(type=d-p,subtype=art-def)",2053,244,260,101023
Trouw,de,de,"pd(type=d-p,subtype=art-def)",1874,65,66,33056
Algemeen Dagblad,zijn,is,"vrb(finiteness=fin,mood=imp|ind,tense=pres,number=sg)",1505,235,260,101023
Het Parool,de,de,"pd(type=d-p,subtype=art-def)",1242,36,36,22852
Algemeen Dagblad,op,op,adp(type=pre),1152,219,260,101023
Algemeen Dagblad,met,met,adp(type=pre),1064,213,260,101023
NRC,van,van,adp(type=pre),1033,66,76,38378
Algemeen Dagblad,te,te,adp(type=pre),1024,206,260,101023
De Volkskrant,van,van,adp(type=pre),1024,61,63,38193
Algemeen Dagblad,voor,voor,adp(type=pre),999,221,260,101023
NRC,een,een,"pd(type=indef,subtype=art-indef)",997,66,76,38378
De Volkskrant,een,een,"pd(type=indef,subtype=art-indef)",995,61,63,38193
NRC,in,in,adp(type=pre),981,68,76,38378
De Volkskrant,in,in,adp(type=pre),903,62,63,38193
Algemeen Dagblad,niet,niet,adv(),872,187,260,101023
Algemeen Dagblad,het,het,"pd(type=pers,person=3,gender=n,number=sg,position=pron)",865,180,260,101023
Trouw,van,van,adp(type=pre),861,61,66,33056
De Volkskrant,en,en,conj(type=coor),855,60,63,38193
NRC,en,en,conj(type=coor),834,66,76,38378
De Volkskrant,het,het,"pd(type=d-p,subtype=art-def)",831,61,63,38193
Algemeen Dagblad,ik,ik,"pd(type=pers,person=1,number=sg,position=pron,case=nom)",830,95,260,101023
Algemeen Dagblad,er,er,"pd(type=pers,person=3,number=pl|sg,position=pron)",792,192,260,101023
Algemeen Dagblad,dat,dat,conj(type=sub),778,186,260,101023
Trouw,een,een,"pd(type=indef,subtype=art-indef)",775,62,66,33056
NRC,het,het,"pd(type=d-p,subtype=art-def)",749,63,76,38378
Trouw,in,in,adp(type=pre),698,59,66,33056
Trouw,het,het,"pd(type=d-p,subtype=art-def)",658,63,66,33056
Algemeen Dagblad,maar,maar,conj(type=coor),625,172,260,101023
Trouw,en,en,conj(type=coor),619,59,66,33056
Algemeen Dagblad,ook,ook,adv(),603,179,260,101023
Algemeen Dagblad,om,om,adp(type=pre),574,175,260,101023
Algemeen Dagblad,die,die,"pd(type=rel,position=pron)",546,175,260,101023
Algemeen Dagblad,aan,aan,adp(type=pre),535,183,260,101023
Het Parool,een,een,"pd(type=indef,subtype=art-indef)",526,34,36,22852
Algemeen Dagblad,bij,bij,adp(type=pre),522,163,260,101023
Het Parool,in,in,adp(type=pre),517,35,36,22852
Het Parool,van,van,adp(type=pre),504,34,36,22852
Algemeen Dagblad,hij,hij,"pd(type=pers,person=3,gender=m,number=sg,position=pron,case=nom)",503,105,260,101023
Algemeen Dagblad,zijn,zijn,"vrb(finiteness=fin,mood=ind,tense=pres,number=pl)",487,170,260,101023
Het Parool,en,en,conj(type=coor),481,35,36,22852
De Volkskrant,zijn,is,"vrb(finiteness=fin,mood=imp|ind,tense=pres,number=sg)",480,56,63,38193
Algemeen Dagblad,dat,dat,"pd(type=dem,position=pron)",459,154,260,101023
Het Parool,het,het,"pd(type=d-p,subtype=art-def)",457,34,36,22852
Trouw,zijn,is,"vrb(finiteness=fin,mood=imp|ind,tense=pres,number=sg)",452,58,66,33056
NRC,zijn,is,"vrb(finiteness=fin,mood=imp|ind,tense=pres,number=sg)",446,58,76,38378
Algemeen Dagblad,wij,we,"pd(type=pers,person=1,number=pl,position=pron,case=nom)",442,116,260,101023
Algemeen Dagblad,jij,je,"pd(type=pers,person=2,number=sg,position=pron,case=nom)",414,101,260,101023
NRC,met,met,adp(type=pre),408,59,76,38378
De Volkskrant,op,op,adp(type=pre),404,56,63,38193
De Volkskrant,te,te,adp(type=pre),403,53,63,38193
Algemeen Dagblad,zij,ze,"pd(type=pers,person=3,number=pl,position=pron)",400,117,260,101023
Algemeen Dagblad,nog,nog,adv(),400,157,260,101023
Algemeen Dagblad,naar,naar,adp(type=pre),392,163,260,101023
De Volkskrant,met,met,adp(type=pre),386,55,63,38193
Algemeen Dagblad,als,als,conj(type=sub),385,139,260,101023
NRC,te,te,adp(type=pre),373,57,76,38378
Algemeen Dagblad,zijn,zijn,"pd(type=poss,person=3,number=sg,position=prenom)",372,115,260,101023
Algemeen Dagblad,jaar,jaar,"nou-c(gender=n,number=sg)",357,136,260,101023
NRC,op,op,adp(type=pre),355,64,76,38378
Algemeen Dagblad,zijn,was,"vrb(finiteness=fin,mood=ind,tense=past,number=sg)",354,122,260,101023
Trouw,te,te,adp(type=pre),342,57,66,33056
Het Parool,zijn,is,"vrb(finiteness=fin,mood=imp|ind,tense=pres,number=sg)",332,34,36,22852
Algemeen Dagblad,wel,wel,adv(),327,125,260,101023
De Volkskrant,voor,voor,adp(type=pre),326,58,63,38193
Trouw,op,op,adp(type=pre),326,60,66,33056
Algemeen Dagblad,hebben,heeft,"vrb(finiteness=fin,mood=ind,tense=pres,number=sg,person=2|3,formal=infl-t)",326,149,260,101023
Algemeen Dagblad,al,al,adv(),321,139,260,101023
Algemeen Dagblad,door,door,adp(type=pre),320,153,260,101023
Trouw,dat,dat,conj(type=sub),314,52,66,33056
Trouw,met,met,adp(type=pre),313,51,66,33056
Trouw,niet,niet,adv(),308,52,66,33056
Trouw,het,het,"pd(type=pers,person=3,gender=n,number=sg,position=pron)",297,53,66,33056
Algemeen Dagblad,of,of,conj(type=coor),295,125,260,101023
Algemeen Dagblad,over,over,adp(type=pre),294,141,260,101023
De Volkskrant,niet,niet,adv(),293,50,63,38193
NRC,voor,voor,adp(type=pre),287,56,76,38378
NRC,die,die,"pd(type=rel,position=pron)",282,51,76,38378
Het Parool,op,op,adp(type=pre),282,34,36,22852
NRC,niet,niet,adv(),280,55,76,38378
Trouw,ik,ik,"pd(type=pers,person=1,number=sg,position=pron,case=nom)",279,27,66,33056
Algemeen Dagblad,kunnen,kan,"vrb(finiteness=fin,mood=imp|ind,tense=pres,number=sg)",278,115,260,101023
Algemeen Dagblad,hebben,hebben,"vrb(finiteness=fin,mood=ind,tense=pres,number=pl)",276,116,260,101023
De Volkskrant,dat,dat,conj(type=sub),276,50,63,38193
NRC,dat,dat,conj(type=sub),276,50,76,38378
Trouw,voor,voor,adp(type=pre),274,52,66,33056
Algemeen Dagblad,worden,wordt,"vrb(finiteness=fin,mood=ind,tense=pres,number=sg,person=2|3,formal=infl-t)",271,134,260,101023
De Volkskrant,die,die,"pd(type=rel,position=pron)",271,54,63,38193
NRC,hij,hij,"pd(type=pers,person=3,gender=m,number=sg,position=pron,case=nom)",268,37,76,38378
NRC,het,het,"pd(type=pers,person=3,gender=n,number=sg,position=pron)",267,52,76,38378
De Volkskrant,het,het,"pd(type=pers,person=3,gender=n,number=sg,position=pron)",265,49,63,38193
Algemeen Dagblad,zo,zo,adv(),252,122,260,101023
Het Parool,ik,ik,"pd(type=pers,person=1,number=sg,position=pron,case=nom)",251,19,36,22852
Algemeen Dagblad,nu,nu,adv(),244,115,260,101023
Algemeen Dagblad,uit,uit,adp(type=pre),242,128,260,101023
Algemeen Dagblad,wat,wat,"pd(type=w-p,position=pron)",240,105,260,101023
Algemeen Dagblad,dan,dan,adv(),240,105,260,101023
Trouw,die,die,"pd(type=rel,position=pron)",237,51,66,33056
Algemeen Dagblad,mens,mensen,nou-c(number=pl),229,91,260,101023
